date,Symbol,Open,High,Low,close,volume_usdt,tradecount,IV,Fear_index,Fear_classification,ma200_raw,dist_ma200,zraw_close_60,ma30_raw,ma90_raw,vol_30mean,hv20_raw,RSI14_raw,Fear_idx
2021/12/21,BTCUSDT,46914.17,49328.96,46630,48889.88,1827234149.05988,1119412,86.04,27,Fear,47193.8627,1696.0172999999995,-1.258316119,51625.901,55500.67911111111,2279506633.4178405,0.5699049578833851,45.19333646786171,0.27
2021/12/22,BTCUSDT,48887.59,49576.13,48421.87,48588.16,1322418595.3337295,949480,82.99,45,Fear,47259.2375,1328.9225000000006,-1.260616193,51370.600333333336,55542.04466666666,2224633175.4577093,0.5695888986585057,44.727789733157024,0.45
2021/12/23,BTCUSDT,48588.17,51375,47920.42,50838.81,1738129830.7814522,1176050,82.99,34,Fear,47334.45,3504.3600000000006,-0.87743856,51147.185000000005,55631.24733333333,2187997147.367474,0.5743521837800163,59.58271838874426,0.34
2021/12/24,BTCUSDT,50838.82,51810,50384.43,50820,1616919305.7036664,1074410,82.57,41,Fear,47420.78605,3399.2139499999976,-0.851038741,50936.575333333334,55721.79577777777,2167015316.0799108,0.4882598043887266,60.95280790241992,0.41
2021/12/25,BTCUSDT,50819.99,51156.23,50142.32,50399.66,971491029.130824,766979,81.08,39,Fear,47505.880300000004,2893.779699999999,-0.888322172,50651.21866666666,55802.226444444444,2117543055.127585,0.48949754809832297,53.3728137190777,0.39
2021/12/26,BTCUSDT,50399.67,51280,49412,50775.49,1132200241.5624182,797133,80.26,37,Fear,47572.8175,3202.6725000000006,-0.805719063,50552.850666666665,55898.094666666664,2033637934.4986799,0.4845717681821249,52.45778350905224,0.37
2021/12/27,BTCUSDT,50775.48,52088,50449,50701.44,1471423612.091862,1009238,83.29,40,Fear,47642.9461,3058.4939000000013,-0.790893374,50418.86433333334,56005.593555555555,2028579617.4520175,0.48456446695104566,67.53413040370648,0.4
2021/12/28,BTCUSDT,50701.44,50704.05,47313.01,47543.74,2242102220.931004,1345774,76.7,41,Fear,47694.0049,-150.2649,-1.240288568,50094.493,56072.476444444444,2037243079.0319564,0.5335542044519329,46.90574747518524,0.41
2021/12/29,BTCUSDT,47543.74,48139.08,46096.99,46464.66,1873785571.2732968,1114074,80.73,27,Fear,47748.59765,-1283.93765,-1.357713339,49717.439999999995,56101.81599999999,2022590219.8039482,0.4984028741267368,41.09484653272128,0.27
2021/12/30,BTCUSDT,46464.66,47900,45900,47120.87,1428755720.453203,910157,80.68,22,Extreme Fear,47789.09915,-668.22915,-1.213505558,49389.78366666667,56090.474444444444,1976093941.3849914,0.5001543764014232,48.01751836133555,0.22
2021/12/31,BTCUSDT,47120.88,48548.26,45678,46216.93,1650715977.918517,1059783,75.51,28,Fear,47817.602349999994,-1600.67235,-1.30445559,49024.21233333334,56074.719222222215,1944953516.8464174,0.4718854013527499,50.34839651449054,0.28
2022/1/1,BTCUSDT,46216.93,47954.63,46208.37,47722.65,924155159.5834864,714899,70.91,21,Extreme Fear,47855.4954,-132.8454,-1.040984062,48732.289333333334,56069.415222222226,1904855018.76229,0.4853667118309148,53.388422815591326,0.21
2022/1/2,BTCUSDT,47722.66,47990,46654,47286.18,866610995.5633582,709624,72.06,29,Fear,47900.18125,-614.00125,-1.072626627,48521.79366666666,56047.873444444434,1825535435.0828402,0.42188442555961997,52.2591019458263,0.29
2022/1/3,BTCUSDT,47286.18,47570,45696,46446.1,1292203508.3256547,885624,71.94,29,Fear,47941.9469,-1495.8469,-1.161966309,48431.58133333333,55992.03022222223,1685418483.294411,0.40656582953049925,48.32791762406111,0.29
2022/1/4,BTCUSDT,46446.1,47557.54,45500,45832.01,1649170424.1276135,1021815,72.52,23,Extreme Fear,47992.007750000004,-2159.99775,-1.213920447,48312.77066666667,55886.663666666675,1666007960.5705342,0.4057251037272785,37.89891164721884,0.23
2022/1/5,BTCUSDT,45832.01,47070,42500,43451.13,2334288544.645448,1478532,75.64,24,Extreme Fear,48031.84479999999,-4580.7148,-1.519947333,48079.74433333333,55771.84044444444,1648766614.7527313,0.43525303703698937,32.543555901412546,0.24
2022/1/6,BTCUSDT,43451.14,43816,42430.58,43082.31,1674466154.4383326,1150707,73.19,15,Extreme Fear,48069.255549999994,-4986.94555,-1.523465557,47829.523,55651.07244444445,1639563036.5603871,0.42362175907985955,19.7767771558959,0.15
2022/1/7,BTCUSDT,43082.3,43145.83,40610,41566.48,2293851015.4652367,1406635,73.86,18,Extreme Fear,48119.0433,-6552.5633,-1.716479349,47532.69933333333,55502.36977777778,1651842777.505403,0.4324299721270729,17.710607270270685,0.18
2022/1/8,BTCUSDT,41566.48,42300,40501,41679.74,1367233494.827767,1021908,71.56,10,Extreme Fear,48164.8942,-6485.1542,-1.665429528,47337.170999999995,55358.155777777785,1636034727.369825,0.4333798839199647,18.90620141549391,0.1
