date,Symbol,Open,High,Low,close,Volume USDT,tradecount,IV,Fear_index,Fear_classification,ma200_raw,dist_ma200,ratio_ma200,zraw_close_60,zraw_close_120,ma30_raw,ma90_raw,ma30_90_diff,vol_30mean,tc_30mean,vol_spike_10,tc_spike_10,ret1_raw,ret3_raw,ret5_raw,hv20_raw,RSI14_raw,IV_pct,Fear_idx
2023-11-19,BTCUSDT,36568.11,37500.0,36384.02,37359.86,781531839.4371592,862400,56.54,66.0,Greed,28959.71865,8400.141350000002,1.2900629474865428,1.473845430982755,2.189476412960837,35105.14466666667,29569.97711111111,5535.167555555556,1383847503.8971841,1303577.8,0.6269972753884601,0.7347311969217625,0.021651658139197894,0.03308168924974364,0.050875090257175515,0.3562913310044068,62.58312004012908,0.5654,0.66
2023-11-20,BTCUSDT,37359.85,37750.0,36677.0,37448.78,1343722642.386475,1485050,57.94,69.0,Greed,29002.771750000004,8446.008249999995,1.2912138302781353,1.4411095684718735,2.1537607294860592,35356.444,29696.563555555556,5659.880444444447,1401239441.6955545,1314674.9,1.1011114282004015,1.2453304823912426,0.0023800945720888755,0.022801710387743368,-0.010814565932875775,0.3563468534567761,62.80125183945164,0.5794,0.69
2023-11-21,BTCUSDT,37448.79,37649.44,35735.0,35741.65,1756747495.981855,1936895,55.72,71.0,Greed,29033.95195,6707.698050000003,1.231029453432708,0.9999587103446266,1.6602086385609103,35548.083666666666,29799.99611111111,5748.087555555554,1437002530.6317186,1345628.1,1.3401945150209056,1.4969963385364442,-0.04558573069670091,-0.022600299167853888,-0.01166534996188151,0.3901295419589217,51.59484071148336,0.5572,0.71
2023-11-22,BTCUSDT,35741.65,37861.1,35632.01,37408.34,1657141022.427348,1648374,55.5,62.0,Greed,29076.752650000002,8331.587349999994,1.2865377523511035,1.3510673750934485,2.0477595892594573,35692.69533333334,29924.75488888889,5767.940444444448,1394186563.9504576,1305909.3,1.1744674078239676,1.1965521854589323,0.046631590875071405,0.0012976494023262397,0.021697212426312174,0.4183683960569432,57.322053436104696,0.555,0.62
2023-11-23,BTCUSDT,37408.35,37653.44,36870.0,37294.28,888826648.8541473,992284,53.87,66.0,Greed,29121.07355,8173.206449999998,1.280662951383535,1.2808367850495286,1.9676403817035504,35805.08033333333,30049.58011111111,5755.500222222221,1292707623.306889,1243980.1,0.6445203871898927,0.7322521733252534,-0.003049052697874255,-0.004125635067417366,0.019858291789838667,0.41744770451953,52.64404540417753,0.5387,0.66
2023-11-24,BTCUSDT,37294.27,38414.0,37251.51,37713.57,1688715728.079148,1379414,53.65,66.0,Greed,29171.297450000002,8542.272549999998,1.2928314232385985,1.3357956424051058,2.0212876929010535,35912.331,30179.53788888889,5732.793111111107,1286057786.722648,1235161.3666666667,1.2201617285451816,1.0198157489477757,0.011242742854936427,0.05517148760619617,0.009467647898038223,0.4177215381762107,51.86630929792986,0.5365,0.66
2023-11-25,BTCUSDT,37713.57,37888.0,37591.1,37780.67,430165251.7609749,569448,52.13,73.0,Greed,29222.059449999997,8558.610550000001,1.2928818403317568,1.3089701015633761,1.9864302773345572,36033.297999999995,30309.303444444446,5723.99455555555,1254960698.2110431,1208050.1333333333,0.3495285563296677,0.453738690058295,0.001779200431038408,0.009953128099241981,0.008862505000162946,0.41732530455119454,52.97607231818679,0.5213,0.73
2023-11-26,BTCUSDT,37780.67,37814.63,37150.0,37447.43,797321193.5893991,848020,53.19,73.0,Greed,29271.302849999996,8176.127150000004,1.2793222833947073,1.191364607406859,1.8592930968953825,36151.81166666666,30435.16377777778,5716.647888888881,1244975090.5500286,1199242.8,0.7018776930516335,0.7152843293587349,-0.008820383545342092,0.004106527864326637,0.04772527289590722,0.4197519226243087,51.71130434161433,0.5318999999999999,0.73
2023-11-27,BTCUSDT,37447.42,37569.23,36707.0,37242.7,1112557435.276792,1238017,50.62,66.0,Greed,29322.673249999996,7920.026750000001,1.2700990691563225,1.1060997722481671,1.7692505464427708,36257.20166666666,30541.012222222223,5716.189444444437,1262862454.2810097,1220262.1,1.0040077945010946,1.0541338850856579,-0.005467130855174918,-0.012485426333280092,-0.004427889609643132,0.42022190961194544,53.609180761280314,0.5062,0.66
2023-11-28,BTCUSDT,37242.7,38377.0,36868.41,37818.87,1414360251.6823456,1272779,50.58,68.0,Greed,29377.79255,8441.077450000004,1.2873285130471794,1.206622176669357,1.8631122320943725,36366.96766666667,30657.888666666666,5709.079000000005,1286286029.831118,1238772.0666666667,1.191432556003715,1.0404742836014442,0.0154706828452289,0.0010110990620337823,0.014066232140693025,0.42246201837591985,60.83250055889827,0.5058,0.68
2023-11-29,BTCUSDT,37818.88,38450.0,37570.0,37854.64,1252586505.66259,1131353,51.9,72.0,Greed,29433.189349999997,8421.450650000002,1.2861209007918812,1.1780707166571844,1.8290210115768848,36479.63133333333,30790.26488888889,5689.36644444444,1289379849.765134,1239226.2666666666,1.0148856534415254,0.9049641030924438,0.0009458241348827556,0.010874177480270308,0.0037405634099343388,0.41035739796959564,49.97828150584805,0.519,0.72
2023-11-30,BTCUSDT,37854.65,38145.85,37500.0,37723.96,934491058.960814,1007791,49.8,74.0,Greed,29487.22105,8236.738949999999,1.2793324924052143,1.1093155765201688,1.758555472345781,36582.43766666667,30922.69722222222,5659.740444444451,1283014803.5808785,1233517.5333333334,0.7831206771477923,0.8381233951868601,-0.0034521527611939273,0.012922263960454039,-0.0015010321415687145,0.4070863511105211,61.76495867619038,0.498,0.74
2023-12-01,BTCUSDT,37723.97,38999.0,37615.86,38682.52,1669750777.6239817,1523417,51.46,71.0,Greed,29544.822949999998,9137.697049999999,1.3092825117098899,1.3013208516156534,1.9309654791928292,36691.140666666666,31065.064000000002,5626.076666666664,1276794868.8190293,1230143.6,1.4095581932170027,1.3120579745044678,0.025409845625962824,0.02283648348033651,0.032981969657196686,0.41558367246240374,64.48615670763806,0.5146000000000001,0.71
2023-12-02,BTCUSDT,38682.51,39717.14,38641.61,39450.35,1043421976.7660652,1034690,52.35,74.0,Greed,29606.905499999997,9843.444500000001,1.3324712371578313,1.4413284135918711,2.0491261554833926,36841.43266666667,31214.832222222227,5626.600444444441,1255370878.108159,1216272.0333333334,0.9289562787407556,0.940865653870667,0.019849534104810163,0.04215361709951537,0.059277388588904634,0.4197883797258472,68.330422682471,0.5235,0.74
2023-12-03,BTCUSDT,39450.35,40250.0,39274.86,39972.26,1059860641.0494444,1151524,54.72,73.0,Greed,29669.73875,10302.521250000002,1.3472400393144681,1.5159377243695356,2.105428961022969,37016.615333333335,31372.01266666667,5644.602666666666,1245767471.7576118,1213410.4,0.9294389087946877,1.0321595940932122,0.013229540422328379,0.05959872717498382,0.05693956482570739,0.41446355571059207,67.20477128797367,0.5472,0.73
2023-12-04,BTCUSDT,39972.26,42420.0,39972.26,41991.1,3285736844.1408806,2112219,55.09,74.0,Greed,29745.58785,12245.512149999999,1.4116749082839188,1.9283419028622513,2.4598359670898393,37247.583,31552.00155555556,5695.58144444444,1333960079.9483135,1257324.8,2.5274408989816295,1.7765776468136194,0.05050602592898157,0.0855316561589059,0.10927220546807459,0.4285668219906474,73.85171182524671,0.5509000000000001,0.74
2023-12-05,BTCUSDT,41991.1,44488.0,41414.0,44073.32,2890205389.490126,2072700,55.71,75.0,Greed,29831.55315,14241.76685,1.4774061470547335,2.3004137927506583,2.7830980002355177,37549.631,31755.483444444442,5794.147555555559,1401655227.1312678,1291799.2,1.8694377671592257,1.5476561152465071,0.04958717442505667,0.11718451167099908,0.16831106808511098,0.4047322677081403,92.0915137681883,0.5571,0.75
2023-12-06,BTCUSDT,44073.82,44297.21,43335.28,43762.69,2256979505.594805,1876282,53.71,72.0,Greed,29914.85445,13847.835550000003,1.4629083378341492,2.1207784700291694,2.6158588783470824,37840.18433333333,31950.01333333333,5890.171000000002,1450806953.9089172,1321400.4,1.3339161487312794,1.301096779007393,-0.007048028149456376,0.09482651218620108,0.1313298616532741,0.35917328078845495,87.1989678059905,0.5371,0.72
2023-12-07,BTCUSDT,43762.69,44047.33,42821.1,43273.14,2046945851.8836448,1414759,52.4,72.0,Greed,29997.48125,13275.658749999999,1.4425591148590182,1.9249907171933138,2.432007100809085,38102.651666666665,32142.931555555555,5959.72011111111,1473770770.2651103,1323465.8333333333,1.1464697037990352,0.9691780394935741,-0.011186469570312108,0.03053123161812854,0.09690129491880306,0.36660252687582895,83.5268692270077,0.524,0.72
2023-12-08,BTCUSDT,43273.15,44700.0,43081.1,44170.99,1875581755.4469104,1311268,53.72,72.0,Greed,30084.08985,14086.900149999998,1.4682508335880402,2.039106712781963,2.514195656672555,38387.52733333334,32345.92466666667,6041.602666666669,1496773756.7635834,1329422.5,1.0240373344019802,0.8959194665374146,0.02074843655902936,0.0022160799322583635,0.10504109600007605,0.367045848564602,84.36596601625517,0.5372,0.72
